,Ano,Delegacia,Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
0,2010,01 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,1,0,0,0,0,0,0,0,0,0,0,1
1,2010,01 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2010,01 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
3,2010,01 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,1,1,1,1,0,0,2,1,1,0,0,8
4,2010,01 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,0,2,1,2,1,0,0,3,2,1,1,1,14
5,2010,01 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,5,12,13,10,9,9,8,14,8,9,7,6,110
6,2010,01 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,0,0,0,1,0,1
7,2010,01 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2010,01 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,7,16,17,12,11,9,10,18,10,9,15,6,140
9,2010,01 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,4,0,1,3,5,10,6,5,3,5,5,4,51
10,2010,01 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,9,12,14,13,14,19,14,19,11,14,12,10,161
11,2010,01 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,3,3,2,4,7,5,5,6,3,4,3,8,53
12,2010,01 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,13,32,32,28,24,17,21,34,21,24,28,23,297
13,2010,02 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2010,02 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,1,0,0,0,0,0,0,0,0,0,0,1
15,2010,02 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
16,2010,02 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,0,1,0,0,1,0,1,0,0,2,1,6
17,2010,02 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,1,0,3,1,0,1,0,2,0,0,2,2,12
18,2010,02 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,8,7,10,10,10,7,9,14,9,7,8,5,104
19,2010,02 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,1,4,2,2,0,0,1,2,3,1,3,19
20,2010,02 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,2,0,0,0,0,0,0,2
21,2010,02 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,8,10,12,13,12,8,14,17,14,8,8,5,129
22,2010,02 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,1,2,4,3,2,2,6,2,2,0,0,0,24
23,2010,02 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,9,9,14,13,12,9,15,16,11,7,8,5,128
24,2010,02 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,6,11,11,9,10,14,12,11,9,12,4,13,122
25,2010,02 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,33,29,38,33,35,27,25,51,25,26,29,25,376
26,2010,03 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2010,03 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,1,1,0,0,0,0,0,0,0,0,0,2
28,2010,03 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,2,0,0,0,0,0,0,0,2
29,2010,03 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,1,1,4,0,5,3,0,0,2,1,1,2,20
30,2010,03 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,2,1,4,4,5,3,3,0,3,2,1,2,30
31,2010,03 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,6,7,7,4,9,5,11,7,6,3,5,11,81
32,2010,03 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,0,1,0,0,0,1
33,2010,03 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,1,0,0,0,0,0,0,0,1
34,2010,03 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,7,8,7,6,10,6,13,9,7,6,5,12,96
35,2010,03 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,0,3,2,2,6,0,1,1,4,4,0,0,23
36,2010,03 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,6,10,9,6,15,5,12,8,10,7,5,11,104
37,2010,03 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,9,5,8,15,10,11,17,23,8,7,7,20,140
38,2010,03 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,19,22,30,18,22,11,20,28,27,26,18,23,264
39,2010,04 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2010,04 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,0,1,0,0,0,0,0,0,0,0,0,1
41,2010,04 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
42,2010,04 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,4,1,0,1,1,2,1,0,3,1,0,0,14
43,2010,04 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,4,1,7,1,1,0,2,0,3,1,0,0,20
44,2010,04 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,9,6,14,9,8,10,5,5,10,6,4,8,94
45,2010,04 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,0,0,0,0,4,4
46,2010,04 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,1,0,0,0,0,0,0,2,0,0,0,3
47,2010,04 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,12,6,17,16,10,18,7,6,10,7,5,8,122
48,2010,04 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,5,2,1,1,2,2,2,0,2,2,1,3,23
49,2010,04 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,15,8,15,10,10,12,7,5,8,8,5,11,114
50,2010,04 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,2,7,7,5,4,6,9,4,0,6,11,4,65
51,2010,04 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,29,27,27,35,21,48,43,34,32,28,19,25,368
